Action,"An action game is a video game genre that emphasizes physical challenges, including hand–eye coordination and reaction-time. The genre includes a large variety of sub-genres, such as fighting games, beat 'em ups, shooter games and platform games",3316,19.98
Adventure,"An adventure game is a video game in which the player assumes the role of a protagonist in an interactive story driven by exploration and puzzle-solving. The genre's focus on story allows it to draw heavily from other narrative-based media, literature and film, encompassing a wide variety of literary genres",1286,7.75
Fighting,"A fighting game is a video game genre based around close combat between a limited number of characters, in a stage in which the boundaries are fixed. The characters fight each other's until they defeat their opponents or the time expires",848,5.11
Misc,"Extraneous games that don't fit one genre, or combine a lot of them into one.",1739,10.48
Platform,Platform games are a video game genre and subgenre of action games. Platformers are characterized by their heavy use of jumping and climbing to navigate the player's environment and reach their goal.,886,5.34
Puzzle,"Puzzle video games make up a broad genre of video games that emphasize puzzle solving. The types of puzzles can test many problem-solving skills including logic, pattern recognition, sequence solving, spatial recognition, and word completion",582,3.51
Racing,"The racing video game genre is the genre of video games, either in the first-person or third-person perspective, in which the player partakes in a racing competition with any type of land, water, air or space vehicles. They may be based on anything from real-world racing leagues to entirely fantastical settings.",1249,7.53
Role-Playing,"A role-playing game is a game in which players assume the roles of characters in a fictional setting. Players take responsibility for acting out these roles within a narrative, either through literal acting, or through a process of structured decision-making regarding character development",1488,8.96
Shooter,"Shooter games are a subgenre of action video game, which often test the player's spatial awareness, reflexes, and speed in both isolated single player or networked multiplayer environments.",1310,7.89
Simulation,"A simulation video game describes a diverse super-category of video games, generally designed to closely simulate real world activities. A simulation game attempts to copy various activities from real life in the form of a game for various purposes such as training, analysis, or prediction.",867,5.22
Sports,"A sports game is a video game genre that simulates the practice of sports. Most sports have been recreated with a game, including team sports, track and field, extreme sports and combat sports. Some games emphasize actually playing the sport, whilst others emphasize strategy and sport management",2346,14.13
Strategy,"A strategy game or strategic game is a game in which the players' uncoerced, and often autonomous, decision-making skills have a high significance in determining the outcome. Almost all strategy games require internal decision tree-style thinking, and typically very high situational awareness.",681,4.1
