Wii,Nintendo Wii,Nintendo,2006
NES,Nintendo Entertainment System,Nintendo,1983
GB,Nintendo Gameboy,Nintendo,1989
DS,Nintendo DS,Nintendo,2004
X360,Xbox 360,Microsoft,2005
PS3,Playstation 3,Sony,2006
PS2,Playstation 2,Sony,2000
SNES,Super Nintendo Entertainment System,Nintendo,1990
GBA,Gameboy Advance,Nintendo,2001
3DS,Nintendo 3DS,Nintendo,2011
PS4,Playstation 4,Sony,2013
N64,Nintendo 64,Nintendo,1996
PS,Playstation,Sony,1994
XB,Xbox,Microsoft,2001
PC,Personal Computer,Different Creators,1985
2600,Atari 2600,Atari,1977
PSP,Playstation Portable,Sony,2004
XOne,Xbox One,Microsoft,2013
GC,Nintendo Gamecube,Nintendo,2001
WiiU,Nintendo WiiU,Nintendo,2012
GEN,Sega Genesis,SEGA,1988
DC,Sega Dreamcast,SEGA,1998
PSV,Playstation Vita,Sony,2011
SAT,Sega Saturn,SEGA,1994
SCD,Sega CD,SEGA,1991
WS,Wonderswan,Bandai,1999
NG,Neo Geo,SNK Corporation,1990
TG16,TurboGrafx16,NEC Home Electronics,1987
3DO,3DO Interactive Multiplayer,3DO Company,1993
GG,Game Gear,SEGA,1990
PCFX,PC-FX,NEC Home Electronics,1994
